regra,n_tr,n_te,lok_tr,lok_te,ic_te,lcont_tr,lcont_te,ok_te,R_te
part<.70,2714,1410,-0.0006902664460007917,-0.014577618194244059,0.025546391302836896,0.0006885558181236157,-0.004204221856248938,0.5404255319148936,
vel_alta,2435,1471,-0.01664703881782917,0.0013422871925034103,0.024983132990620542,-0.0024276702688182336,0.008158823611322141,0.46838885112168593,
vel_baixa,2520,1547,-0.0064041760525821645,-0.0005873122281967523,0.024111127902205595,-0.006828513101960141,0.00485477977983082,0.5979314802844214,
acel>2,3504,2196,-0.019713956229441394,-0.005040467139506802,0.02029806612813732,-0.008023614533041346,-0.006336271800108006,0.5846994535519126,
acel<0.5,3154,1956,-0.008773674809875587,0.0020904945062507614,0.0216437718575382,-0.006132234207453716,0.0035895032737441592,0.467280163599182,
relqtd>2,3112,1921,-0.012604324439367714,-0.005709150525145359,0.021636867701727343,-0.0003523966679426846,-0.008758460155285171,0.5908381051535658,
relqtd<0.5,2492,1488,-0.006747473187241709,-0.00873383409949754,0.02486063576848148,-0.0040706143565476085,-0.00614673137631862,0.45698924731182794,
tend5>0,7026,4299,-0.01466592473146293,-0.001857820248058815,0.014609755599551936,-0.008503973751056578,-0.003302260898256432,0.513375203535706,
tend5forte,4385,2739,-0.020034503671818537,-0.004504073134028874,0.018374595811806872,-0.0075454174308093175,-0.0025931535930783056,0.5001825483753195,
contra_tend5,370,220,0.03701281203910941,0.02636268438257039,0.06302850970303767,0.01798878260373285,0.05576763325608691,0.6454545454545455,
viradas5>=3,1995,1224,-0.0013287571760946999,-0.011810536809760956,0.027080272216461504,-0.005981347690040043,-0.00975673905357938,0.5686274509803921,
viradas5<=1,4825,3015,-0.021201417190212454,0.003415675839856955,0.017548139218456733,-0.009815287517335985,-0.0008491423996058772,0.5140961857379768,
